"","class","species","n"
"160","Aves","Dendrocygna bicolor",13
"161","Aves","Dendrocygna viduata",58
"162","Aves","Dolichonyx oryzivorus",1
"163","Aves","Donacospiza albifrons",49
"164","Aves","Drymornis bridgesii",44
"165","Aves","Egretta caerulea",9
"166","Aves","Egretta thula",160
"167","Aves","Elaenia albiceps",12
"168","Aves","Elaenia flavogaster",1
"169","Aves","Elaenia mesoleuca",3
"170","Aves","Elaenia parvirostris",60
"171","Aves","Elaenia sordida",25
"172","Aves","Elaenia spectabilis",6
"173","Aves","Elanus leucurus",16
"174","Aves","Emberizoides herbicola",6
"175","Aves","Emberizoides ypiranganus",7
"176","Aves","Embernagra platensis",132
"177","Aves","Empidonomus aurantioatrocristatus",18
"178","Aves","Empidonomus varius",15
"179","Aves","Eupetomena macroura",4
"180","Aves","Euphonia chlorotica",14
"181","Aves","Euphonia cyanocephala",5
"182","Aves","Euscarthmus meloryphus",9
"183","Aves","Falco femoralis",23
"184","Aves","Falco peregrinus",14
"185","Aves","Falco sparverius",144
"186","Aves","Florisuga fusca",7
"187","Aves","Fluvicola nengeta",2
"188","Aves","Fluvicola pica",6
"189","Aves","Fregata magnificens",28
"190","Aves","Fulica armillata",46
"191","Aves","Fulica leucoptera",21
"192","Aves","Fulica rufifrons",16
"193","Aves","Fulmarus glacialis",1
"194","Aves","Furnarius rufus",347
"195","Aves","Gallinago magellanica",1
"196","Aves","Gallinago paraguaiae",51
"197","Aves","Gallinula chloropus",76
"198","Aves","Gallinula melanops",40
"199","Aves","Gampsonyx swainsonii",1
"200","Aves","Gelochelidon nilotica",4
"201","Aves","Geositta cunicularia",35
"202","Aves","Geothlypis velata",54
"203","Aves","Geotrygon montana",1
"204","Aves","Geranoaetus melanoleucus",49
"205","Aves","Geranospiza caerulescens",12
"206","Aves","Glaucidium brasilianum",17
"207","Aves","Gnorimopsar chopi",16
"208","Aves","Gubernatrix cristata",5
"209","Aves","Gubernetes yetapa",1
"210","Aves","Guira guira",124
"211","Aves","Haematopus ater",4
"212","Aves","Haematopus palliatus",137
"213","Aves","Heliobletus contaminatus",12
"214","Aves","Heliomaster furcifer",21
"215","Aves","Hemithraupis guira",1
"216","Aves","Hemithraupis ruficapilla",3
"217","Aves","Hemitriccus margaritaceiventer",15
"218","Aves","Heteronetta atricapilla",12
"219","Aves","Heteroxolmis dominicana",57
"220","Aves","Himantopus mexicanus",104
"221","Aves","Hirundinea ferruginea",12
"222","Aves","Hirundo rustica",29
"223","Aves","Hydropsalis torquata",59
"224","Aves","Hylocharis chrysura",112
"225","Aves","Hymenops perspicillatus",107
"226","Aves","Icterus cayanensis",55
"227","Aves","Ictinia mississippiensis",7
"228","Aves","Ictinia plumbea",4
"229","Aves","Ixobrychus involucris",6
"230","Aves","Jabiru mycteria",2
"231","Aves","Jacana jacana",90
"232","Aves","Knipolegus cyanirostris",49
"233","Aves","Knipolegus lophotes",29
"234","Aves","Larus atlanticus",50
"235","Aves","Larus dominicanus",237
"236","Aves","Laterallus leucopyrrhus",2
"237","Aves","Laterallus melanophaius",21
"238","Aves","Lathrotriccus euleri",13
"239","Aves","Lepidocolaptes angustirostris",71
"240","Aves","Lepidocolaptes falcinellus",10
"241","Aves","Leptasthenura platensis",15
"242","Aves","Leptopogon amaurocephalus",1
"243","Aves","Leptotila rufaxilla",7
"244","Aves","Leptotila verreauxi",43
"245","Aves","Lessonia rufa",29
"246","Aves","Leucocarbo atriceps",2
"247","Aves","Leucochloris albicollis",77
"248","Aves","Leucophaeus pipixcan",1
"249","Aves","Limnornis curvirostris",12
"250","Aves","Limnornis rectirostris",31
"251","Aves","Limosa haemastica",35
"252","Aves","Lochmias nematura",36
"253","Aves","Machetornis rixosa",97
"254","Aves","Mackenziaena leachii",26
"255","Aves","Macronectes giganteus",32
"256","Aves","Macronectes halli",14
"257","Aves","Mareca sibilatrix",12
"258","Aves","Megaceryle torquata",40
"259","Aves","Megarynchus pitangua",6
"260","Aves","Megascops choliba",43
"261","Aves","Megascops sanctaecatarinae",4
"262","Aves","Melanerpes cactorum",14
"263","Aves","Melanerpes candidus",56
"264","Aves","Meleagris gallopavo",1
"265","Aves","Melopsittacus undulatus",3
"266","Aves","Microspingus cabanisi",47
"267","Aves","Microspingus melanoleucus",22
"268","Aves","Microspingus torquatus",1
"269","Aves","Mimus saturninus",283
"270","Aves","Mimus triurus",25
"271","Aves","Molothrus bonariensis",175
"272","Aves","Molothrus rufoaxillaris",27
"273","Aves","Motacilla alba",3
"274","Aves","Muscisaxicola maclovianus",7
"275","Aves","Mycteria americana",73
"276","Aves","Myiarchus ferox",7
"277","Aves","Myiarchus swainsoni",32
"278","Aves","Myiarchus tyrannulus",7
"279","Aves","Myiodynastes maculatus",45
"280","Aves","Myiopagis viridicata",3
"281","Aves","Myiophobus fasciatus",52
"282","Aves","Myiopsitta monachus",225
"283","Aves","Myiothlypis leucoblephara",28
"284","Aves","Nandayus nenday",2
"285","Aves","Nemosia pileata",1
"286","Aves","Neoxolmis rufiventris",8
"287","Aves","Netta peposaca",17
"288","Aves","Nomonyx dominicus",12
"289","Aves","Nothura maculosa",69
"290","Aves","Notiochelidon cyanoleuca",49
"291","Aves","Numenius phaeopus",8
"292","Aves","Numida meleagris",4
"293","Aves","Nyctibius griseus",15
"294","Aves","Nycticorax nycticorax",56
"295","Aves","Nycticryphes semicollaris",7
"296","Aves","Nyctidromus albicollis",1
"297","Aves","Nymphicus hollandicus",1
"298","Aves","Oreopholus ruficollis",15
"299","Aves","Ortalis canicollis",3
"300","Aves","Oxyura vittata",25
"301","Aves","Pachyptila belcheri",1
"302","Aves","Pachyramphus polychopterus",23
"303","Aves","Pachyramphus validus",16
"304","Aves","Pachyramphus viridis",29
"305","Aves","Pandion haliaetus",17
"306","Aves","Parabuteo unicinctus",102
"307","Aves","Pardirallus maculatus",2
"308","Aves","Pardirallus sanguinolentus",43
"309","Aves","Paroaria capitata",16
"310","Aves","Paroaria coronata",269
"311","Aves","Passer domesticus",114
"312","Aves","Patagioenas cayennensis",12
"313","Aves","Patagioenas maculosa",93
"314","Aves","Patagioenas picazuro",101
