"","recordedBy","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"1144","santigecko","2024-01-24T02:07:33","2024-02-16T21:47:20",2,24,0.0833333333333333,"beginner"
"1145","santimarquez","2023-08-29T11:20:54","2024-01-25T15:11:45",7,150,0.0466666666666667,"beginner"
"1146","sasquatchtaco","2020-02-20T15:13:38Z","2022-12-20T16:45",2,1035,0.00193236714975845,"beginner"
"1147","scann","2020-03-29T21:48","2020-03-29T21:48",4,1,4,"beginner"
"1148","scorpion_marie","2015-01-04T16:56","2015-01-12T17:11",4,9,0.444444444444444,"beginner"
"1149","sebaaf","2021-12-12T13:10:52","2021-12-12T13:17:56",2,1,2,"beginner"
"1150","sebataboa","2023-02-26T12:53:28","2024-03-15T12:22:44",2,384,0.00520833333333333,"beginner"
"1151","selenamarie999","2023-11-14T11:30:07","2023-11-18T18:42:02",6,5,1.2,"beginner"
"1152","shalianthatguy","2024-02-17T19:05:42","2024-03-26T12:20:11",4,39,0.102564102564103,"beginner"
"1153","sharon_rena","2021-04-16T20:33:08","2021-04-16T20:33:08",1,1,1,"beginner"
"1154","sharonbrochini","2019-10-23T07:07:16","2019-10-23T07:07:16",1,1,1,"beginner"
"1155","silvanamallo","2021-03-15T08:52:24","2024-02-26T17:47:37",152,1079,0.140871177015755,"beginner"
"1156","silviavazquez","2022-04-14T17:24:10","2024-02-13T14:47:07",25,671,0.03725782414307,"beginner"
"1157","ska1","2019-07-15T16:32:44","2019-07-29T16:44:15",3,15,0.2,"beginner"
"1158","smailhos","2016-02-14T16:04:45","2016-02-14T16:04:45",1,1,1,"beginner"
"1159","smerer","2017-12-30T13:04:52","2017-12-30T13:04:52",1,1,1,"beginner"
"1160","smoghead","2022-08-22T10:20:51","2022-08-22T10:20:51",1,1,1,"beginner"
"1161","snevares","2021-08-03T16:06:34","2024-02-27T19:18:40",11,939,0.0117145899893504,"beginner"
"1162","snewman67","2015-01-25T22:31","2015-01-25T22:31",1,1,1,"beginner"
"1163","soffbj","2021-12-29T12:22","2021-12-29T12:22",1,1,1,"beginner"
"1164","sofiazh","2024-03-24T13:36:55","2024-03-24T13:36:55",1,1,1,"beginner"
"1165","sombratigre","2024-01-10T06:36:46","2024-02-05T18:49:25",3,27,0.111111111111111,"beginner"
"1166","sophia_garrido","2023-11-06T12:33","2023-11-06T13:12",3,1,3,"beginner"
"1167","soren42","2020-02-03T11:05:14","2020-02-03T15:52:05",2,1,2,"beginner"
"1168","soulgazing","2022-10-23T15:47:30","2023-08-06T13:09:31",2,288,0.00694444444444444,"beginner"
"1169","spiegel","2013-09-21T15:02Z","2013-11-16T17:01Z",5,56.9583333333333,0.0877834674469642,"beginner"
