"","recordedBy","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"69","Braian Villalba","2022-08-30T12:06","2024-03-17T18:00",4,566,0.00706713780918728,"beginner"
"70","Briar","2023-12-24T14:12:37","2023-12-24T14:12:37",1,1,1,"beginner"
"71","Buchelt","2022-12-10T08:03:02","2024-02-10T15:43:43",15,428,0.0350467289719626,"beginner"
"72","Bárbara Del","2023-08-10T13:54:03","2023-08-10T13:54:03",1,1,1,"beginner"
"73","C Yasuda","2017-01-30T04:41","2017-01-30T10:06",12,1,12,"beginner"
"74","CHRISTOPHER R PREVETT","2023-02-11T12:18:58","2023-02-11T12:18:58",1,1,1,"beginner"
"75","Cachafaz Mercedario","2017-07-01T15:52:30","2024-02-21T13:58:54",11,2427,0.00453234445817882,"beginner"
"76","Caio Barbosa","2019-07-06T17:04:55","2019-07-06T17:04:55",1,1,1,"beginner"
"77","Calidris Esperanza","2019-01-06T08:16Z","2019-01-08T17:41Z",6,3,2,"beginner"
"78","Cami Suárez","2023-07-10T15:02:51","2023-07-10T15:02:51",1,1,1,"beginner"
"79","Camila Diaz","2014-02-10T18:56","2014-04-09",18,59.0416666666667,0.304869442484121,"beginner"
"80","Camilo Perez","2021-12-19T14:26:23","2022-03-12T12:43:55",4,84,0.0476190476190476,"beginner"
"81","Camilo Schettini","2013-11-14","2023-03-15T10:45",6,3409.04166666667,0.00176002542258944,"beginner"
"82","Canelones Sustentable","2015-03-08T11:36","2023-05-30T17:03",316,3006.04166666667,0.105121630050593,"beginner"
"83","Carla Sanguineti","2024-02-17T16:51:50","2024-02-25T17:44:33",5,9,0.555555555555556,"beginner"
"84","CarlaFou","2021-04-28T17:09:32","2023-06-28T14:00:14",12,792,0.0151515151515152,"beginner"
"85","Carles y Sara","2018-11-28T10:16","2018-11-29T16:51",13,2,6.5,"beginner"
"86","Carlo Biancardi","2014-05-26T15:06:24","2017-10-29T09:44:26",72,1253,0.0574620909816441,"beginner"
"87","Carlos Otávio Gussoni","2016-10-29T17:11","2016-10-29T17:11",1,1,1,"beginner"
"88","Carmela","2019-03-26T11:51:20","2024-02-15T22:26:38",117,1788,0.0654362416107383,"beginner"
"89","Carmen LM Tavares","2017-02-16T09:51Z","2024-01-25T15:54",123,2535,0.0485207100591716,"beginner"
"90","Carol Fontes","2020-05-29","2024-03-30T11:39:46",66,1402,0.0470756062767475,"beginner"
"91","Castilla Pilar","2010-01-13T14:55","2010-01-14T11:30",2,2,1,"beginner"
"92","Catalina Ibarburu","2020-12-07T10:13:16","2021-03-31T20:39:41",5,115,0.0434782608695652,"beginner"
"93","Catalina Portela","2023-03-19T18:52:17","2023-03-19T18:52:17",1,1,1,"beginner"
"94","Catherine Sofie","2022-03-02T10:31","2022-03-02T10:31",1,1,1,"beginner"
"95","Catheryn Bermudez Rojas","2021-08-31T12:29:02","2022-05-05T10:08:57",8,248,0.032258064516129,"beginner"
"96","Cecilia Pombo Posente","2018-09-03","2023-11-28T18:00:11",120,1913,0.0627286983795086,"beginner"
"97","Celina Emilia Iratchet","2023-04-29T17:00","2023-04-29T17:00",1,1,1,"beginner"
"98","Celina Garreta","2022-07-21","2022-07-21",1,1,1,"beginner"
"99","Cesar Lezama","2023-05-01T11:34","2023-05-21T11:40",60,21,2.85714285714286,"beginner"
"100","Chaz","2022-10-28T17:12:34","2022-11-06T17:54:56",11,10,1.1,"beginner"
"101","Chris Daley","2006-01-25T16:31","2006-01-25T16:31",1,1,1,"beginner"
"102","Chris Fisher","2009-02-09T07:12","2009-02-09T07:12",1,1,1,"beginner"
"103","Christian Gilli","2008-03-16T07:00","2021-02-20",431,4725,0.0912169312169312,"beginner"
"104","Christopher Taube","2024-03-03T12:25:03","2024-03-03T12:25:03",1,1,1,"beginner"
"105","Cicely Bertin","2022-05-21T16:39:14","2022-05-21T16:39:14",1,1,1,"beginner"
"106","Cida Werneck","2012-01-31T20:01","2015-11-29T11:51",19,1399.04166666667,0.0135807249009739,"beginner"
"107","Clara Barzi","2023-11-14T14:50:58","2024-01-06T16:09:09",2,54,0.037037037037037,"beginner"
"108","Claudia","2019-12-27T12:07","2023-04-28T15:43:24",55,1219,0.0451189499589828,"beginner"
"109","Claudia Barros","2015-05-03T15:14","2015-05-05T13:12",2,3,0.666666666666667,"beginner"
"110","Claudia Gil","2021-08-16T14:12:23","2024-01-17T10:52:12",268,885,0.302824858757062,"intermediate"
"111","Claudio Martins de Souza","2015-02-21T17:04","2015-05-22T16:00",8,91.0416666666667,0.0878718535469108,"beginner"
"112","Connor Crane","2020-01-05T11:29:55","2020-01-05T11:29:55",1,1,1,"beginner"
"113","Cory","2016-11-12T22:01:05","2019-05-25T18:28:49",40,925,0.0432432432432432,"beginner"
"114","Cristian Di Battista","2019-01-07T07:25:23","2019-01-07T07:25:23",1,1,1,"beginner"
"115","Cristina Barboza","2024-03-30T13:54","2024-03-30T13:54",1,1,1,"beginner"
"116","Cruz Raven","2021-11-14T13:53:34","2023-01-10T22:16:17",137,423,0.32387706855792,"intermediate"
"117","Cyprien J","2018-02-01T21:18","2018-03-13T18:02:50",4,41,0.0975609756097561,"beginner"
"118","César Suaza","2019-10-14T17:50:32","2019-10-14T17:50:32",1,1,1,"beginner"
"119","Daiana","2022-08-31T18:35","2022-08-31T18:35",1,1,1,"beginner"
"120","Damián Hagopián","2020-12-31T18:03","2023-11-25T21:55",53,1060,0.05,"beginner"
"121","Dan Proud","2023-03-05T13:09:54","2023-03-05T13:09:54",1,1,1,"beginner"
"122","Daniel","2022-11-07T08:53:50","2022-11-07T08:53:50",1,1,1,"beginner"
"123","Daniel Branch","2023-01-03T10:29","2023-01-03T10:36",2,1,2,"beginner"
"124","Daniel Dias","2019-03-09","2023-11-19T17:41:08",106,1717,0.0617355853232382,"beginner"
"125","Daniel García","2016-02-18T01:28","2020-04-12T18:26:49",3,1516,0.00197889182058048,"beginner"
"126","Daniel Villar B","2023-01-03T11:32:43","2023-01-27T17:17",2,25,0.08,"beginner"
"127","Daniela Martínez","2019-04-15T21:34:40","2024-02-21T09:00",58,1774,0.0326944757609921,"beginner"
"128","Daniela Valiente","2023-03-15T13:26:32","2023-03-15T13:26:32",1,1,1,"beginner"
"129","Danny","2023-12-14T09:24:05","2023-12-27T12:34:27",57,14,4.07142857142857,"beginner"
"130","Darrell Parsons","2024-03-04T13:30","2024-03-05T10:24",21,2,10.5,"beginner"
"131","Darío Dalmas","2022-05-21T16:01:27","2022-05-21T17:17:58",9,1,9,"beginner"
"132","David Barros Cardona","2005-08-14T16:29","2005-08-17T13:16",3,4,0.75,"beginner"
"133","David Garoffolo Betschmann","2023-03-08T17:05:36","2023-03-14T13:29:20",3,7,0.428571428571429,"beginner"
"134","David Hoeffer","2022-01-27T14:48:33","2022-01-31T10:37:10",6,5,1.2,"beginner"
"135","David Roche","2023-11-18T15:32","2023-11-18T16:32",18,1,18,"beginner"
"136","Denis Pavlenko","2022-10-20T09:40","2022-10-20T09:40",1,1,1,"beginner"
"137","Denisse del Campo","2023-10-27T12:13:32","2023-10-28T10:40:26",4,2,2,"beginner"
"138","Diana Fuentes","2018-08-18T14:30","2018-11-03T02:27",92,78,1.17948717948718,"beginner"
"139","Dicastelli","2015-04-25T12:38","2024-04-01T17:12:15",207,3265,0.0633996937212864,"beginner"
"140","Diego","2011-01-21T15:50","2024-04-02T08:53:46",181,4821.04166666667,0.0375437535110842,"beginner"
"141","Diego Alfonso Rosa","2016-09-26T13:08","2016-09-26T13:08",1,1,1,"beginner"
"142","Diego Almendras G.","2019-11-08T19:20","2019-11-11T16:32:43",55,4,13.75,"beginner"
"143","Diego Barboza","2022-05-07T15:20:31","2024-04-07T12:08:54",92,702,0.131054131054131,"beginner"
"144","Diego Battiste","2021-02-03T10:25","2023-04-03T11:04",10,790,0.0126582278481013,"beginner"
"145","Diego Caballero","2002-12-13T22:55","2024-04-07T17:34:54",1343,7787,0.172466932066264,"beginner"
"146","Diego Cáceres Bentancor","2021-01-02T08:00","2024-02-04T08:47",5,1129,0.00442869796279894,"beginner"
"147","Diego De La Quintana","2023-11-11T01:30","2023-12-06T16:25:06",3,26,0.115384615384615,"beginner"
"148","Diego Gomes","2016-01-13T19:44:38","2016-01-13T19:44:38",1,1,1,"beginner"
"149","Diego_dla_Gente","2023-08-06T12:30","2024-02-11T14:00",3,190,0.0157894736842105,"beginner"
"150","Donald Pendleton","2023-01-27T12:18:54","2023-01-27T15:04:23",9,1,9,"beginner"
"151","E l a.","2023-06-22","2023-08-07",2,47,0.0425531914893617,"beginner"
"152","E.D. Cook","2023-06-01T10:26:56","2023-06-01T14:35:30",13,1,13,"beginner"
"153","Edgar Romero","2020-02-04T19:05:32","2020-02-13T12:55:48",3,10,0.3,"beginner"
"154","Eduardo Correa","2019-12-28T03:09","2023-01-21T10:51:44",3,1121,0.00267618198037467,"beginner"
"155","Eduardo Luis Beltrocco","2018-01-21","2019-07-27T16:02",16,553,0.0289330922242315,"beginner"
"156","Eduardo Muñoz","2017-02-12T11:44:11","2024-04-07",61,2612,0.023353751914242,"beginner"
"157","Eduardo S.","2024-02-18T16:09:10","2024-02-18T20:41:54",4,1,4,"beginner"
"158","Eidiu","2023-12-15T23:12","2023-12-15T23:12",1,1,1,"beginner"
"159","Elena Ferreira","2017-05-20","2024-04-04T12:23:20",841,2512,0.334792993630573,"intermediate"
"160","Eli","2020-04-23T17:29:22","2022-03-01T18:29",56,678,0.0825958702064897,"beginner"
"161","Eliana Díaz","2023-09-15T17:26","2024-02-20T09:47:10",14,159,0.0880503144654088,"beginner"
"162","Elias Guillermo","2019-12-28T16:58:28","2022-10-16T17:42:09",71,1024,0.0693359375,"beginner"
"163","Emilihano Messa","2022-05-07T15:13:09","2023-11-24T09:53:12",54,567,0.0952380952380952,"beginner"
"164","Emmanuel Morales","2018-10-26","2024-04-10",91,1994,0.0456369107321966,"beginner"
"165","Enrique Cenoz","2015-12-21T07:45","2024-04-09T16:37:26",2201,3033,0.725684141114408,"expert"
"166","Ernesto Fernandez Polcuch","2022-06-12T17:06:28","2023-09-23T15:12:34",5,469,0.0106609808102345,"beginner"
"167","Escuela 228","2022-06-14T14:02","2022-06-14T14:02",1,1,1,"beginner"
"168","Escuela. Berachí","2020-07-27","2022-09-01T15:13:15",7,767,0.0091264667535854,"beginner"
"169","Esteban Martinez","2017-02-23","2021-03-28T12:46",22,1495,0.0147157190635452,"beginner"
"170","Estrella Montalibet","2012-12-12","2012-12-12",1,1,1,"beginner"
"171","Evee Krojmal","2016-02-16T13:33","2021-09-14T18:19:20",192,2038,0.0942100098135427,"beginner"
"172","Ezequiel Vera","2011-01-07T14:49","2011-01-17T11:42",4,11,0.363636363636364,"beginner"
"173","FERNANDO CARLOS RAFFO","2007-02-11T12:44","2017-12-21T14:32",24,3967.04166666667,0.00604984822863385,"beginner"
"174","Fabiana Alejandra","2023-09-29T13:05:39","2023-09-29T13:10",2,1,2,"beginner"
"175","Facundo Teran","2022-07-26T12:03:15","2024-02-16T22:44:49",36,571,0.0630472854640981,"beginner"
"176","Fausto Aparicio","2023-06-12T10:00","2024-04-10T16:44:38",65,304,0.213815789473684,"intermediate"
"177","Federico","2017-03-14T22:51","2017-03-22T16:56",5,9,0.555555555555556,"beginner"
"178","Federico Gadea","2017-01-18T06:58:42","2018-04-20T11:07:48",4,458,0.00873362445414847,"beginner"
"179","Federico Voltes","2020-12-15T15:06Z","2020-12-15T15:06Z",1,1,1,"beginner"
"180","Fernanda Alarcón","2015-01-19T14:40","2016-11-20T17:25",42,672.041666666667,0.06249612499225,"beginner"
"181","Fernanda Da Silva","2022-09-24T15:23:23","2022-09-30T14:23:44",2,7,0.285714285714286,"beginner"
"182","Fernanda García","2023-01-12T23:59","2023-02-23T21:23:43",2,43,0.0465116279069767,"beginner"
"183","Fernando Federico","2018-01-08T11:33","2018-01-11T18:48",3,4,0.75,"beginner"
"184","Fernando Sessegolo","2023-09-09T10:35","2023-09-09T12:05",13,1,13,"beginner"
"185","Fernando Vilariño","2019-08-12T12:16","2024-04-09T15:40",237,1703,0.139166177334116,"beginner"
"186","Flavio Gonzalo Rodriguez","2021-12-25T10:04","2024-01-26T10:43",15,763,0.0196592398427261,"beginner"
"187","Florencia Grattarola","2011-08-28T15:27","2024-01-08T09:28:12",1100,4517,0.243524463139252,"intermediate"
"188","Francesca Mollica","2018-12-30","2024-03-24T18:17:04",89,1912,0.0465481171548117,"beginner"
"189","Francisco González Táboas","2019-02-15T08:38","2019-02-15T12:16",5,1,5,"beginner"
"190","Francisco Liguori","2020-01-22T11:39","2024-03-10",537,1510,0.355629139072848,"intermediate"
"191","Francisco Wyler","2022-12-30T06:55","2023-01-14T15:57",11,16,0.6875,"beginner"
"192","Franco Agustín Toso","2016-10-10","2024-03-06T09:22:44",331,2705,0.122365988909427,"beginner"
"193","Fábio Max Marschner Mayer","2019-09-19T12:13","2019-09-22T11:10",9,4,2.25,"beginner"
"194","Fábio Olmos","2010-10-16T11:15","2011-05-28T12:48",2,225.041666666667,0.00888724310312905,"beginner"
"195","Gabriel","2022-09-19T09:06:28","2022-09-19T09:06:28",1,1,1,"beginner"
"196","Gabriel Arenares","2017-09-20T07:47","2017-09-20T07:47",1,1,1,"beginner"
"197","Gabriel Brachetti","2020-12-12T14:54","2020-12-12T14:54",1,1,1,"beginner"
"198","Gabriel Laufer","2012-05-25T13:49","2024-03-24T12:02:05",665,4322,0.153863951874132,"beginner"
"199","Gabriel Martínez","2020-05-28T10:57:40","2024-03-25T11:53:33",128,1398,0.0915593705293276,"beginner"
"200","Gabriel Perazza","2019-05-26T22:44","2023-11-26T12:28:51",61,1646,0.0370595382746051,"beginner"
"201","Gabriel Vitoi","2021-11-25T17:32:41","2021-11-27T09:13:50",3,3,1,"beginner"
"202","Gabriela FP","2024-03-16T15:20","2024-03-19T10:38",2,4,0.5,"beginner"
"203","Gabriela Piovesan","2018-10-03T14:37:31","2022-12-24T13:19",3,1544,0.00194300518134715,"beginner"
"204","Gene H","2018-12-27T15:36","2018-12-31T10:25",10,5,2,"beginner"
"205","Georgina Farabelli","2022-08-20","2024-01-01T14:29",11,500,0.022,"beginner"
"206","Gerardo","2018-02-15T15:52","2018-02-15T15:52",1,1,1,"beginner"
"207","Gerardo Vanerio","2011-02-21T18:34","2023-09-29",8,4604.04166666667,0.00173760373584803,"beginner"
"208","Gimena González","2024-04-05T19:48","2024-04-05T19:48",1,1,1,"beginner"
"209","Giovana Antunez","2019-01-15T14:29","2024-02-14T05:04:32",75,1857,0.0403877221324717,"beginner"
"210","Giuliana Castromán","2022-10-31T21:40","2022-10-31T21:40",1,1,1,"beginner"
"211","Giuliano Müller Brusco","2015-01-01T16:00","2015-01-01T16:00",1,1,1,"beginner"
"212","Giuliano Ventin","2020-12-06T17:36","2023-09-23T09:52",7,1022,0.00684931506849315,"beginner"
"213","Gonzalo Barrios","2018-11-28T22:14","2018-11-28T22:14",1,1,1,"beginner"
"214","Gonzalo Bravo","2023-05-15T11:54","2023-12-10T10:02",89,210,0.423809523809524,"intermediate"
"215","Gonzalo Diaz","2013-10-12","2013-10-14T14:06",107,3,35.6666666666667,"beginner"
"216","Gonzalo González Mora","2023-01-15T08:03","2023-01-20T12:32",113,6,18.8333333333333,"beginner"
"217","Gonzalo Rodriguez","2020-04-10T16:15","2022-04-19T18:22:02",213,740,0.287837837837838,"intermediate"
"218","Gonzalo Roget","2017-09-09","2017-09-10",13,2,6.5,"beginner"
"219","Grant Terrell","2023-11-23T15:45","2023-11-23T15:45",1,1,1,"beginner"
"220","Grete Pasch","2012-11-19T14:54","2012-11-19T14:54",1,1,1,"beginner"
"221","Guardaparques Laguna Garzón","2022-04-06T17:59:15","2022-04-06T17:59:15",1,1,1,"beginner"
"222","Guardianes de la Costa","2021-11-13T10:09:24","2022-10-06T11:08:34",151,328,0.460365853658537,"intermediate"
"223","Guillermo Debandi","2011-01-06","2011-01-13T17:04:33",27,8,3.375,"beginner"
"224","Guillermo Maresca","2023-05-03T16:29:54","2024-02-11T12:17:52",53,285,0.185964912280702,"beginner"
"225","Guillermo Menéndez","2016-06-06T08:56","2024-04-10T15:08:53",1234,2866,0.430565247732031,"intermediate"
"226","Gustavo Casás","2016-12-01","2023-12-09T19:52",165,2565,0.064327485380117,"beginner"
"227","Gustavo Puente","2011-02-15T19:32","2021-09-19T12:23",6,3870.04166666667,0.00155037090470602,"beginner"
"228","Henrique C. Costa","2023-10-11T09:50:11","2023-10-13T17:59:12",14,3,4.66666666666667,"beginner"
"229","Henry Darío Fros","2014-11-03T17:17","2022-05-28T14:47",4,2764.04166666667,0.00144715618734643,"beginner"
"230","Hoiman","2017-12-26T06:57","2017-12-26T09:35",3,1,3,"beginner"
"231","Hugo","2014-11-15T12:57","2014-11-15T12:57",1,1,1,"beginner"
"232","Hugo Coitiño","2020-10-04T10:26:39","2020-10-04T10:26:39",1,1,1,"beginner"
"233","Hugo Lamarca","2020-08-06T09:01","2020-08-06T09:01",1,1,1,"beginner"
"234","Ian Cuello","2022-10-08T07:11:40","2022-10-08T07:11:40",1,1,1,"beginner"
"235","Ian Ruiz","2021-09-29T17:26:52","2022-10-21",4,388,0.0103092783505155,"beginner"
"236","Iara Grosso","2023-03-05","2024-03-30T13:20:16",10,392,0.0255102040816327,"beginner"
"237","Ignacio Alcuri","2023-07-30T16:30:39","2023-09-15T17:15:07",2,48,0.0416666666666667,"beginner"
"238","Ignacio Berro","2011-10-08T15:33:57","2024-01-21T12:38:36",294,4489.04166666667,0.065492820479501,"beginner"
"239","Ignacio Toledo","2022-08-25T16:48","2024-02-20T13:33",13,545,0.0238532110091743,"beginner"
"240","Irene","2024-02-04T10:26:26","2024-02-04T10:26:26",1,1,1,"beginner"
"241","Irene Iturriberry Scaffo","2022-06-09T14:13","2024-03-06T10:27:39",36,637,0.0565149136577708,"beginner"
"242","Irma Hummel","2023-04-05T14:25:13","2024-04-10T15:18:23",389,372,1.04569892473118,"intermediate"
"243","Ismael Acosta Servetto","2021-01-04T17:29","2021-01-05T13:57",7,2,3.5,"beginner"
"244","Ivan Grela","2013-10-25T11:14","2024-03-06T10:24:45",166,3786.04166666667,0.0438452649535025,"beginner"
"245","Ivan L. F. Magalhaes","2014-11-02T06:31","2014-11-02T06:31",1,1,1,"beginner"
"246","Jacob A. Gorneau","2023-03-04T13:03:54","2023-03-14T10:12:33",68,11,6.18181818181818,"beginner"
"247","Jana Bannana","2018-12-10T17:46:31","2021-03-13T19:00:51",4,825,0.00484848484848485,"beginner"
"248","Javier González","2016-02-01T10:58","2018-09-30T12:33",219,973,0.225077081192189,"intermediate"
"249","Javier Lima","2020-12-26T19:26","2023-12-26T11:53:17",4,1096,0.00364963503649635,"beginner"
"250","Javier Piquillén","2019-03-06T19:30","2024-04-09T09:25",671,1862,0.360365198711063,"intermediate"
"251","Javier Sellanes Lopez","2016-09-22","2024-02-29T14:34:42",256,2717,0.0942215679057784,"beginner"
"252","Jay","2023-03-10T18:57:33","2023-03-18T16:12:03",20,9,2.22222222222222,"beginner"
"253","Jazmin Riera","2023-08-19T11:25:59","2023-08-19T11:25:59",1,1,1,"beginner"
"254","Jazmín Morel","2023-08-25T13:34:48","2023-08-25T13:34:48",1,1,1,"beginner"
"255","Jefferson Da Silva Aranaga","2022-10-24T11:57:22","2022-10-24T12:32:11",5,1,5,"beginner"
"256","Jere Abayté","2021-12-30T11:44","2021-12-30T11:44",1,1,1,"beginner"
"257","Jessee J. Smith","2022-05-27T13:12","2022-05-27T13:12",1,1,1,"beginner"
"258","Jessica Cortacero","2019-01-21T11:45","2022-10-08T12:43:30",27,1357,0.0198968312453943,"beginner"
"259","Jessica Porley","2013-06-26","2022-02-19T14:49",4,3161,0.00126542233470421,"beginner"
"260","Jesús Díaz-Rodríguez","2016-12-29","2016-12-29",1,1,1,"beginner"
"261","Joaquín C.M. Gana","2017-10-07T15:49","2017-10-07T16:41",2,1,2,"beginner"
"262","Joaquín Davila","2010-01-01T00:01","2020-12-20T16:40:29",374,4007.04166666667,0.0933356902952095,"beginner"
"263","Joaquín Lapetina","2021-10-02T16:09","2024-03-10T12:15",362,891,0.40628507295174,"intermediate"
"264","Joha Smith","2020-02-28T08:23:14","2024-02-18T09:35",24,1452,0.0165289256198347,"beginner"
"265","Johannes Hassi Hassler","2023-11-01T15:18:53","2023-11-12T17:55:17",5,12,0.416666666666667,"beginner"
"266","Jorge Bonelli","2021-03-28T11:28","2022-01-16T12:14",3,295,0.0101694915254237,"beginner"
"267","Jorge Schlemmer","2015-01-25","2015-02-01",34,8,4.25,"beginner"
"268","Joseph Morlan","2023-01-30T09:32","2023-01-31T13:33",110,2,55,"beginner"
"269","José Antonio Pascual Trillo","1992-09-05","1992-09-06",4,2,2,"beginner"
"270","José Carlos Merino Mombach","2020-03-02T11:42:42","2022-12-25T11:08:52",2,1029,0.00194363459669582,"beginner"
"271","José Montoya","2020-03-08T11:39:27","2020-03-08T11:39:27",1,1,1,"beginner"
"272","João Gava Just","2022-09-04T13:50:55","2023-01-21T14:01:15",2,140,0.0142857142857143,"beginner"
"273","João Vitor Andriola","2019-06-20T16:06","2019-06-22T17:56",12,3,4,"beginner"
"274","Jual Bilú","2022-04-18T15:03","2022-04-18T15:03",1,1,1,"beginner"
"275","Juampa Zambra Favaro","2022-11-24T08:10","2022-11-24T08:10",1,1,1,"beginner"
"276","Juan","2020-04-18T16:16:43","2023-02-06T19:31:05",33,1025,0.0321951219512195,"beginner"
"277","Juan Carlos Giraldi","2020-01-15T13:13:58","2020-01-15T13:13:58",1,1,1,"beginner"
"278","Juan Diego Döke","2010-11-26T10:00","2010-11-27T11:49",4,2,2,"beginner"
"279","Juan Jose Garese Gonzalez","2023-11-01T11:06","2023-11-06T11:24",2,6,0.333333333333333,"beginner"
"280","Juan José Bonanno","2016-12-09","2016-12-09T09:42",5,1,5,"beginner"
"281","Juan Manuel Blanco","2019-09-22T09:30:39","2021-12-29T09:49:35Z",5,830,0.00602409638554217,"beginner"
"282","Juan Pablo Ortiz","2006-01-08T15:35:03","2019-03-16T12:37:17",8,4816.04166666667,0.00166111519660856,"beginner"
"283","Juan Pechi","2022-10-27T16:32:54","2022-10-27T16:32:54",1,1,1,"beginner"
"284","Juan Puglia","2015-09-14T11:26:20","2024-02-24T10:47:48",36,3086,0.0116655865197667,"beginner"
"285","Juan Raimon","2022-05-14T15:23:19","2023-03-07T14:28:42",6,298,0.0201342281879195,"beginner"
"286","Juan jose castro lewowicz","2022-10-29T16:00","2024-02-23T15:29",6,483,0.0124223602484472,"beginner"
"287","Julia M.","2013-09-01T11:43","2013-09-01T11:43",1,1,1,"beginner"
"288","Juliana Dragona","2017-11-28","2018-06-13",5,198,0.0252525252525253,"beginner"
"289","Julieta Badini","2024-02-01T22:10:21","2024-02-01T22:10:21",1,1,1,"beginner"
"290","Julián Rolando Tocce","2015-02-15T09:29","2023-01-20T10:19",648,2897.04166666667,0.22367645155259,"intermediate"
"291","K. Musálem","2023-02-20T18:17:47","2023-02-20T18:17:47",1,1,1,"beginner"
"292","Kaila Wheatley Kornblum","2018-02-03T00:03Z","2018-02-03T00:03Z",1,1,1,"beginner"
"293","Karen Martinez","2022-07-14T14:22","2022-07-14T14:22",1,1,1,"beginner"
"294","Karina Viera","2021-04-02T23:20","2024-04-10T11:39:22",243,1105,0.219909502262443,"intermediate"
"295","Ken Chamberlain","2019-02-26T09:43:11","2019-02-26T14:36:01",11,1,11,"beginner"
"296","Kenia Esmeralda Radilla Torres","2017-10-14T17:17","2017-10-14T17:17",1,1,1,"beginner"
"297","Kerry Gilpin","2022-11-11T10:39:14","2022-11-13T11:12:33",6,3,2,"beginner"
"298","Kimberly","2023-01-03T14:09:24","2023-01-03T14:09:24",1,1,1,"beginner"
"299","Klaus Riede","2009-01-01T00:01","2023-11-21T13:25",372,5438.04166666667,0.0684069786151571,"beginner"
"300","Kristof Zyskowski","2002-03-17","2002-03-22T00:00",14,6,2.33333333333333,"beginner"
"301","L-S-R","2019-11-21T10:09","2024-01-15T09:39",39,1517,0.025708635464733,"beginner"
"302","L.e.e.a.h.c.e.n.t.u.r.i.o.n","2022-06-19T09:47","2022-06-19T09:47",1,1,1,"beginner"
"303","La Casa del Bosque","2021-05-15T20:37:42","2022-10-09T10:24:10",46,513,0.0896686159844055,"beginner"
"304","Lalo Lu","2020-11-14T19:12","2024-04-09",34,1243,0.0273531777956557,"beginner"
"305","Lara Eva","2022-03-19T18:07:07","2022-03-21T13:47:15",3,3,1,"beginner"
"306","Laura","2024-02-17T12:27:26","2024-03-27T18:25:49",16,40,0.4,"beginner"
"307","Laura Almada","2021-01-03T19:32:32","2024-04-06T11:01:15",71,1190,0.0596638655462185,"beginner"
"308","Laura Magallanes","2013-02-02T01:05","2022-04-11T15:58",278,3356.04166666667,0.0828356819169409,"beginner"
"309","Laura Nicola","2023-11-05T16:23:55","2023-11-05T16:23:55",1,1,1,"beginner"
"310","LauraNog","2018-11-26T10:14","2021-08-24T13:50",6,1003,0.00598205383848455,"beginner"
"311","Lauren Trinidad","2021-10-14T08:49","2023-10-12T10:31",2,729,0.00274348422496571,"beginner"
"312","Lautaro Fuentes","2018-01-09T20:14","2024-03-07T13:23:52",603,2250,0.268,"intermediate"
"313","Lauu","2012-02-17T10:24","2012-02-23T14:23",7,7,1,"beginner"
"314","Leandro Capurro","2019-10-24","2024-01-28T19:40:53",34,1558,0.0218228498074454,"beginner"
"315","Leo","2023-06-22T13:34:12","2023-06-22T13:34:12",1,1,1,"beginner"
"316","Leo Lagos","2015-11-03T20:03","2024-03-03T18:02:47",745,3044,0.244743758212878,"intermediate"
"317","Leonel Roget","2012-02-25T18:19","2013-10-14",90,598,0.150501672240803,"beginner"
"318","Leticia Gesto","2020-03-16T14:20","2020-03-21T11:47",2,6,0.333333333333333,"beginner"
"319","Leyla Cuello","2017-02-15T13:41","2024-04-10T19:00:15",71,2612,0.0271822358346095,"beginner"
"320","Liu Idárraga Orozco","2011-11-12T17:20","2017-01-14",112,1891.04166666667,0.0592266167235871,"beginner"
"321","Louis","2016-02-28T13:44:11","2016-02-28T13:44:11",1,1,1,"beginner"
"322","Lourdes Suárez","2023-06-04T17:01","2024-02-02T19:30:27",19,244,0.0778688524590164,"beginner"
"323","Lowenna Arnold","2024-01-08T21:33:20","2024-02-19T21:42:44",55,43,1.27906976744186,"beginner"
"324","Luca","2022-04-17T10:23:18","2023-10-26T14:14:26",2,558,0.003584229390681,"beginner"
"325","Lucas Irigoytia","2017-12-09T21:42","2017-12-10T23:13",2,2,1,"beginner"
"326","Luccina Martinez","2023-10-12T09:58:49","2023-10-12T11:09:23",4,1,4,"beginner"
"327","Lucia","2018-12-28T16:18","2018-12-28T16:18",1,1,1,"beginner"
"328","Lucia Moreira Marrero","2022-09-04T22:22:07","2024-03-29T09:10:08",13,573,0.0226876090750436,"beginner"
"329","Luciano Patrón","2007-01-29T14:21","2024-03-25T15:30:55",526,6266.04166666667,0.0839445423413239,"beginner"
"330","Lucio Garreta","2023-05-15T15:00","2024-03-25T10:27",79,316,0.25,"intermediate"
"331","Lucía","2017-12-18T21:17:23","2019-04-01T17:50:26",2,470,0.00425531914893617,"beginner"
"332","Lucía Araújo","2023-09-09T12:36","2023-10-13T17:10",44,35,1.25714285714286,"beginner"
"333","Lucía Bergós","2022-01-16T13:23:49","2022-05-21T16:26:28",9,126,0.0714285714285714,"beginner"
"334","Lucía Meyer","2020-04-07T18:14","2020-11-02T22:50",14,210,0.0666666666666667,"beginner"
"335","Lucía Moreira Demarco","2016-04-30T15:28","2024-03-17T13:59:31",13,2879,0.00451545675581799,"beginner"
"336","Lucía Rodríguez-Tricot","1980-01-01T00:00","2024-04-04T17:27:59",406,16166.0416666667,0.0251143729783368,"beginner"
