"","family","species","n"
"140","Asteraceae","Gyptis tanacetifolia",15
"141","Asteraceae","Hatschbachiella tweedieana",30
"142","Asteraceae","Hedypnois rhagadioloides",4
"143","Asteraceae","Helenium amarum",2
"144","Asteraceae","Helenium uniflorum",14
"145","Asteraceae","Helianthus annuus",1
"146","Asteraceae","Helianthus tuberosus",3
"147","Asteraceae","Helminthotheca echioides",33
"148","Asteraceae","Hieracium palezieuxii",2
"149","Asteraceae","Hieracium semiglabratum",5
"150","Asteraceae","Holocheilus brasiliensis",6
"151","Asteraceae","Holocheilus hieracioides",4
"152","Asteraceae","Hymenoxys anthemoides",2
"153","Asteraceae","Hypochaeris albiflora",16
"154","Asteraceae","Hypochaeris chillensis",17
"155","Asteraceae","Hypochaeris glabra",1
"156","Asteraceae","Hypochaeris grisebachii",1
"157","Asteraceae","Hypochaeris lutea",1
"158","Asteraceae","Hypochaeris megapotamica",15
"159","Asteraceae","Hypochaeris radicata",88
"160","Asteraceae","Hypochaeris variegata",4
"161","Asteraceae","Hysterionica chamomilloides",1
"162","Asteraceae","Hysterionica resinosa",10
"163","Asteraceae","Jaumea linearifolia",5
"164","Asteraceae","Jungia floribunda",1
"165","Asteraceae","Lactuca saligna",1
"166","Asteraceae","Lactuca serriola",6
"167","Asteraceae","Leptostelma tweediei",1
"168","Asteraceae","Lessingianthus brevifolius",3
"169","Asteraceae","Lessingianthus glabratus",1
"170","Asteraceae","Lessingianthus macrocephalus",2
"171","Asteraceae","Lessingianthus plantaginodes",19
"172","Asteraceae","Lessingianthus rubricaulis",3
"173","Asteraceae","Lessingianthus sellowii",1
"174","Asteraceae","Leucanthemum vulgare",2
"175","Asteraceae","Lucilia acutifolia",31
"176","Asteraceae","Lucilia nitens",10
"177","Asteraceae","Matricaria chamomilla",5
"178","Asteraceae","Microgyne marchesiana",3
"179","Asteraceae","Microgyne trifurcata",8
"180","Asteraceae","Micropsis spathulata",5
"181","Asteraceae","Mikania anethifolia",2
"182","Asteraceae","Mikania cordifolia",4
"183","Asteraceae","Mikania involucrata",9
"184","Asteraceae","Mikania pinnatiloba",3
"185","Asteraceae","Mikania sulcata",1
"186","Asteraceae","Mikania thapsoides",4
"187","Asteraceae","Moquiniastrum polymorphum",3
"188","Asteraceae","Mutisia coccinea",38
"189","Asteraceae","Neja pinifolia",39
"190","Asteraceae","Noticastrum acuminatum",41
"191","Asteraceae","Noticastrum chebataroffii",1
"192","Asteraceae","Noticastrum diffusum",36
"193","Asteraceae","Noticastrum malmei",6
"194","Asteraceae","Noticastrum marginatum",1
"195","Asteraceae","Noticastrum sericeum",1
"196","Asteraceae","Orthopappus angustifolius",2
"197","Asteraceae","Pamphalea bupleurifolia",3
"198","Asteraceae","Pamphalea heterophylla",2
"199","Asteraceae","Panphalea heterophylla",5
"200","Asteraceae","Pascalia glauca",4
"201","Asteraceae","Perezia multiflora",1
"202","Asteraceae","Perezia squarrosa",1
"203","Asteraceae","Picrosia longifolia",27
"204","Asteraceae","Pluchea sagittalis",66
"205","Asteraceae","Podocoma hirsuta",6
"206","Asteraceae","Porophyllum linifolium",34
"207","Asteraceae","Porophyllum ruderale",4
"208","Asteraceae","Praxelis clematidea",2
"209","Asteraceae","Pseudognaphalium cheiranthifolium",27
"210","Asteraceae","Pseudognaphalium gaudichaudianum",18
"211","Asteraceae","Pterocaulon alopecuroides",3
"212","Asteraceae","Pterocaulon angustifolium",18
"213","Asteraceae","Pterocaulon balansae",22
"214","Asteraceae","Pterocaulon cordobense",1
"215","Asteraceae","Pterocaulon lorentzii",15
"216","Asteraceae","Pterocaulon polypterum",1
"217","Asteraceae","Pterocaulon polystachyum",25
"218","Asteraceae","Pterocaulon virgatum",4
"219","Asteraceae","Radlkoferotoma berroi",1
"220","Asteraceae","Radlkoferotoma cistifolium",13
"221","Asteraceae","Raulinoreitzia tremula",1
