"id","taxon_family_name","taxon_species_name","n","species","taxon_genus_name","Distribution","Habito1","Habito2","SNAPregional","BiodiversidataEstablecimiento","IUCNglobal","trendGlobal","esta_en_powo","esta_en_gbif","es_un_nuevo_registro","url_powo","synonym","remarks"
36,"Asteraceae","Baccharis jocheniana",16,"Baccharis jocheniana","Baccharis",1,"Arbusto","Perenne","No evaluada","nativa","NE","NE","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77094504-1",,
101,"Asteraceae","Cotula nigellifolia",14,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:975170-1",,"non-native"
38,"Asteraceae","Baccharis linearifolia",26,"Baccharis linearifolia","Baccharis",11,"Arbusto","Perenne","Prioritaria","nativa","NE","NE",,,,,,
555,"Solanaceae","Physalis peruviana",13,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195473-2",,"non-native"
40,"Asteraceae","Baccharis microdonta",28,"Baccharis microdonta","Baccharis",7,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
41,"Asteraceae","Baccharis notosergila",47,"Baccharis notosergila","Baccharis",9,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
42,"Asteraceae","Baccharis ochracea",21,"Baccharis ochracea","Baccharis",8,"Arbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
43,"Asteraceae","Baccharis oxyodonta",6,"Baccharis oxyodonta","Baccharis",5,"Arbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
527,"Solanaceae","Calibrachoa pygmea",12,,,,,,,,,,,,,,"Calibrachoa pygmaea",
45,"Asteraceae","Baccharis patens",24,"Baccharis patens","Baccharis",6,"Arbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
46,"Asteraceae","Baccharis phyteumoides",13,"Baccharis phyteumoides","Baccharis",13,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
47,"Asteraceae","Baccharis psiadioides",1,"Baccharis psiadioides","Baccharis",4,"Arbusto","Perenne","Prioritaria","nativa","NE","NE",,,,,,
48,"Asteraceae","Baccharis punctulata",46,"Baccharis punctulata","Baccharis",12,"Arbusto","Perenne","No Prioritaria","nativa","LC","Stable",,,,,,
49,"Asteraceae","Baccharis rectialata",4,"Baccharis rectialata","Baccharis",3,"Subarbusto","Perenne","No evaluada","NE","NE","NE",,,,,,
50,"Asteraceae","Baccharis salicifolia",2,"Baccharis salicifolia","Baccharis",1,"Arbusto","Perenne","No evaluada","NE","LC","Decreasing",,,,,,
