"","class","species","n","Distribution","Size","IUCNglobal"
"110","Aves","Chaetura meridionalis",1,2,12,"LC"
"111","Aves","Charadrius modestus",31,19,19,"LC"
"112","Aves","Charadrius semipalmatus",35,5,15,"LC"
"113","Aves","Chauna torquata",168,19,85,"LC"
"114","Aves","Chionis albus",9,4,37,"LC"
"115","Aves","Chlidonias niger",2,NA,NA,NA
"116","Aves","Chloris chloris",9,10,14,"LC"
"117","Aves","Chloroceryle amazona",52,19,26,"LC"
"118","Aves","Chloroceryle americana",88,19,18,"LC"
"119","Aves","Chlorostilbon lucidus",121,19,7,"LC"
"120","Aves","Chordeiles minor",8,19,22,"LC"
"121","Aves","Chordeiles nacunda",34,19,28,"LC"
"122","Aves","Chroicocephalus cirrocephalus",28,15,38,"LC"
"123","Aves","Chroicocephalus maculipennis",180,19,35,"LC"
"124","Aves","Chrysomus ruficapillus",42,19,17,"LC"
"125","Aves","Ciconia maguari",138,19,85,"LC"
"126","Aves","Cinclodes fuscus",32,19,16,"LC"
"127","Aves","Circus buffoni",81,19,52,"LC"
"128","Aves","Circus cinereus",13,19,48,"LC"
"129","Aves","Cistothorus platensis",11,16,10,"LC"
"130","Aves","Cnemotriccus fuscatus",3,1,12,"LC"
"131","Aves","Coccyzus cinereus",6,NA,NA,NA
"132","Aves","Coccyzus melacoryphus",14,19,28,"LC"
"133","Aves","Coereba flaveola",5,6,10,"LC"
"134","Aves","Colaptes campestris",113,19,27,"LC"
"135","Aves","Colaptes melanochloros",188,19,23,"LC"
"136","Aves","Columba livia",15,19,33,"LC"
"137","Aves","Columbina picui",62,19,15,"LC"
"138","Aves","Columbina talpacoti",13,19,15,"LC"
"139","Aves","Conopophaga lineata",3,1,11,"LC"
"140","Aves","Coragyps atratus",60,19,53,"LC"
"141","Aves","Corvus splendens",3,NA,NA,NA
"142","Aves","Coryphistera alaudina",15,6,15,"LC"
"143","Aves","Coryphospingus cucullatus",15,19,12,"LC"
"144","Aves","Coscoroba coscoroba",79,19,71,"LC"
"145","Aves","Cranioleuca pyrrhophia",56,19,14,"LC"
"146","Aves","Cranioleuca sulphurifera",13,NA,NA,NA
"147","Aves","Crotophaga ani",9,15,32,"LC"
"148","Aves","Crotophaga major",4,6,42,"LC"
"149","Aves","Crypturellus obsoletus",2,1,30,"LC"
"150","Aves","Culicivora caudacuta",1,2,10,"VU"
"151","Aves","Cyanocorax caeruleus",2,2,35,"NT"
"152","Aves","Cyanocorax chrysops",35,16,32,"LC"
"153","Aves","Cyanoloxia brissonii",12,19,16,"LC"
"154","Aves","Cyanoloxia glaucocaerulea",43,19,14,"LC"
"155","Aves","Cyclarhis gujanensis",66,19,16,"LC"
"156","Aves","Cygnus melancoryphus",54,19,90,"LC"
"157","Aves","Daption capense",1,NA,NA,NA
"158","Aves","Dendrocolaptes platyrostris",7,1,25,"LC"
"159","Aves","Dendrocygna autumnalis",8,9,41,"LC"
"160","Aves","Dendrocygna bicolor",13,19,41,"LC"
"161","Aves","Dendrocygna viduata",58,19,42,"LC"
"162","Aves","Dolichonyx oryzivorus",1,1,16,"LC"
"163","Aves","Donacospiza albifrons",49,19,14,"LC"
"164","Aves","Drymornis bridgesii",44,19,26,"LC"
"165","Aves","Egretta caerulea",9,12,40,"LC"
"166","Aves","Egretta thula",160,19,39,"LC"
"167","Aves","Elaenia albiceps",12,13,13,"LC"
"168","Aves","Elaenia flavogaster",1,5,14,"LC"
"169","Aves","Elaenia mesoleuca",3,7,14,"LC"
"170","Aves","Elaenia parvirostris",60,19,13,"LC"
"171","Aves","Elaenia sordida",25,7,16,"LC"
"172","Aves","Elaenia spectabilis",6,7,16,"LC"
"173","Aves","Elanus leucurus",16,19,40,"LC"
"174","Aves","Emberizoides herbicola",6,3,18,"LC"
"175","Aves","Emberizoides ypiranganus",7,12,16,"LC"
"176","Aves","Embernagra platensis",132,19,20,"LC"
"177","Aves","Empidonomus aurantioatrocristatus",18,14,17,"LC"
"178","Aves","Empidonomus varius",15,10,17,"LC"
"179","Aves","Eupetomena macroura",4,3,17,"LC"
"180","Aves","Euphonia chlorotica",14,3,9,"LC"
"181","Aves","Euphonia cyanocephala",5,NA,NA,NA
"182","Aves","Euscarthmus meloryphus",9,19,10,"LC"
"183","Aves","Falco femoralis",23,19,35,"LC"
"184","Aves","Falco peregrinus",14,19,39,"LC"
"185","Aves","Falco sparverius",144,19,26,"LC"
"186","Aves","Florisuga fusca",7,14,9,"LC"
"187","Aves","Fluvicola nengeta",2,2,15,"LC"
"188","Aves","Fluvicola pica",6,NA,NA,NA
"189","Aves","Fregata magnificens",28,6,65,"LC"
"190","Aves","Fulica armillata",46,19,35,"LC"
