"","class","species","n","Distribution","Size","IUCNglobal"
"481","Aves","Zonotrichia capensis",259,19,12,"LC"
"482","Mammalia","Akodon azarae",1,19,17,"LC"
"483","Mammalia","Arctocephalus australis",77,7,150,"LC"
"484","Mammalia","Arctocephalus gazella",1,2,150,"LC"
"485","Mammalia","Arctocephalus tropicalis",10,3,16,"LC"
"486","Mammalia","Axis axis",62,13,140,"LC"
"487","Mammalia","Cabassous tatouay",2,4,70,"LC"
"488","Mammalia","Calomys laucha",4,19,13,"LC"
"489","Mammalia","Canis lupus",5,NA,NA,NA
"490","Mammalia","Capra hircus",1,12,125,"NE"
"491","Mammalia","Cavia aperea",98,19,24,"LC"
"492","Mammalia","Cerdocyon thous",60,19,110,"LC"
"493","Mammalia","Conepatus chinga",73,19,57,"LC"
"494","Mammalia","Ctenomys pearsoni",32,6,26,"NT"
"495","Mammalia","Ctenomys rionegrensis",1,NA,NA,NA
"496","Mammalia","Ctenomys torquatus",7,12,26,"LC"
"497","Mammalia","Cuniculus paca",1,1,65,"LC"
"498","Mammalia","Dama dama",1,1,145,"LC"
"499","Mammalia","Dasypterus ega",11,NA,NA,NA
"500","Mammalia","Dasypus novemcinctus",51,19,70,"LC"
"501","Mammalia","Dasypus septemcinctus",79,19,45,"LC"
"502","Mammalia","Delphinus delphis",1,3,230,"LC"
"503","Mammalia","Desmodus rotundus",11,19,9,"LC"
"504","Mammalia","Didelphis albiventris",72,19,90,"LC"
"505","Mammalia","Eptesicus diminutus",2,4,9,"LC"
"506","Mammalia","Eptesicus furinalis",8,19,11,"LC"
"507","Mammalia","Equus asinus",1,NA,NA,NA
"508","Mammalia","Eubalaena australis",17,4,1400,"LC"
"509","Mammalia","Eumops bonariensis",2,19,11,"LC"
"510","Mammalia","Euphractus sexcinctus",43,19,62,"LC"
"511","Mammalia","Felis catus",8,NA,NA,NA
"512","Mammalia","Galictis cuja",25,19,62,"LC"
"513","Mammalia","Histiotus montanus",2,19,11,"LC"
"514","Mammalia","Holochilus brasiliensis",5,19,39,"LC"
"515","Mammalia","Hydrochoerus hydrochaeris",160,19,115,"LC"
"516","Mammalia","Lagenodelphis hosei",1,5,235,"LC"
"517","Mammalia","Lasiurus blossevillii",5,19,10,"LC"
"518","Mammalia","Leopardus geoffroyi",38,19,90,"LC"
"519","Mammalia","Leopardus wiedii",26,8,102,"NT"
"520","Mammalia","Lepus europaeus",92,19,65,"LC"
"521","Mammalia","Lontra longicaudis",43,19,114,"NT"
"522","Mammalia","Lutreolina crassicaudata",2,19,62,"LC"
"523","Mammalia","Lycalopex gymnocercus",115,19,97,"LC"
"524","Mammalia","Mazama gouazoubira",62,19,210,"LC"
"525","Mammalia","Megaptera novaeangliae",4,3,1450,"LC"
"526","Mammalia","Mirounga leonina",19,5,450,"LC"
"527","Mammalia","Molossus molossus",4,19,10,"LC"
"528","Mammalia","Monodelphis dimidiata",4,10,24,"LC"
"529","Mammalia","Mus musculus",4,19,15,"LC"
"530","Mammalia","Myocastor coypus",96,19,85,"LC"
"531","Mammalia","Myotis albescens",2,19,8,"LC"
"532","Mammalia","Myotis levis",1,19,8,"LC"
"533","Mammalia","Nasua nasua",15,7,112,"LC"
"534","Mammalia","Oligoryzomys flavescens",2,19,19,"LC"
"535","Mammalia","Oligoryzomys nigripes",4,NA,NA,NA
"536","Mammalia","Oryctolagus cuniculus",6,NA,NA,NA
"537","Mammalia","Otaria byronia",121,5,210,"LC"
"538","Mammalia","Ovis aries",1,NA,NA,NA
"539","Mammalia","Oxymycterus josei",1,9,23,"NT"
"540","Mammalia","Oxymycterus nasutus",1,9,23,"LC"
"541","Mammalia","Ozotoceros bezoarticus",14,2,129,"NT"
"542","Mammalia","Pecari tajacu",2,1,95,"LC"
"543","Mammalia","Platyrrhinus lineatus",2,NA,NA,NA
"544","Mammalia","Pontoporia blainvillei",30,6,145,"VU"
"545","Mammalia","Procyon cancrivorus",79,19,107,"LC"
"546","Mammalia","Pseudorca crassidens",4,4,500,"NT"
"547","Mammalia","Rattus norvegicus",3,NA,NA,NA
"548","Mammalia","Rattus rattus",3,19,40,"LC"
"549","Mammalia","Reithrodon typicus",1,19,25,"LC"
"550","Mammalia","Sphiggurus spinosus",10,NA,NA,NA
"551","Mammalia","Sturnira lilium",1,9,7,"LC"
"552","Mammalia","Sus scrofa",17,19,177,"LC"
"553","Mammalia","Tadarida brasiliensis",8,19,10,"LC"
"554","Mammalia","Tamandua tetradactyla",8,5,112,"LC"
"555","Mammalia","Tursiops truncatus",12,6,300,"LC"
"556","Mammalia","Wilfredomys oenax",2,8,29,"EN"
