taxon_class_name,taxon_species_name,distribution_area,body_size,conservation_status,remarks
Aves,Chloroceryle amazona,19,26,LC,NA
Aves,Chloroceryle americana,19,18,LC,NA
Aves,Chlorophonia cyanocephala,1,10,LC,NA
Aves,Chlorostilbon lucidus,19,7,LC,NA
Aves,Chordeiles minor,19,22,LC,NA
Aves,Chordeiles nacunda,19,28,LC,NA
Aves,Chroicocephalus cirrocephalus,15,38,LC,NA
Aves,Chroicocephalus maculipennis,19,35,LC,NA
Aves,Chrysomus ruficapillus,19,17,LC,NA
Aves,Ciconia maguari,19,85,LC,NA
Aves,Cinclodes fuscus,19,16,LC,NA
Aves,Circus buffoni,19,52,LC,NA
Aves,Circus cinereus,19,48,LC,NA
Aves,Cistothorus platensis,16,10,LC,NA
Aves,Cnemotriccus fuscatus,1,12,LC,NA
Aves,Coccycua cinerea,19,22,LC,NA
Aves,Coccyzus melacoryphus,19,28,LC,NA
Aves,Coereba flaveola,6,10,LC,NA
Aves,Colaptes campestris,19,27,LC,NA
Aves,Colaptes melanochloros,19,23,LC,NA
Aves,Columba livia,NA,NA,NA,non-native: introduced
Aves,Columbina picui,19,15,LC,NA
Aves,Columbina talpacoti,19,15,LC,NA
Aves,Conopophaga lineata,1,11,LC,NA
Aves,Coragyps atratus,19,53,LC,NA
Aves,Corvus splendens,NA,NA,NA,non-native: introduced
Aves,Coryphistera alaudina,6,15,LC,NA
Aves,Coryphospingus cucullatus,19,12,LC,NA
Aves,Coscoroba coscoroba,19,71,LC,NA
Aves,Cranioleuca pyrrhophia,19,14,LC,NA
Aves,Crotophaga ani,15,32,LC,NA
Aves,Crotophaga major,6,42,LC,NA
Aves,Crypturellus obsoletus,1,30,LC,NA
Aves,Culicivora caudacuta,2,10,VU,NA
Aves,Cyanocorax caeruleus,2,35,NT,NA
Aves,Cyanocorax chrysops,16,32,LC,NA
Aves,Cyanoloxia brissonii,19,16,LC,NA
Aves,Cyanoloxia glaucocaerulea,19,14,LC,NA
Aves,Cyclarhis gujanensis,19,16,LC,NA
Aves,Cygnus melancoryphus,19,90,LC,NA
Aves,Daptrius chimachima,19,37,LC,NA
Aves,Daptrius chimango,19,37,LC,NA
Aves,Dendrocolaptes platyrostris,1,25,LC,NA
Aves,Dendrocygna autumnalis,9,41,LC,NA
Aves,Dendrocygna bicolor,19,41,LC,NA
Aves,Dendrocygna viduata,19,42,LC,NA
Aves,Dolichonyx oryzivorus,1,16,LC,NA
Aves,Donacospiza albifrons,19,14,LC,NA
Aves,Drymornis bridgesii,19,26,LC,NA
Aves,Dryobates mixtus,7,16,LC,NA
Aves,Dryobates spilogaster,19,14,LC,NA
Aves,Egretta caerulea,12,40,LC,NA
Aves,Egretta thula,19,39,LC,NA
Aves,Elaenia albiceps,13,13,LC,NA
Aves,Elaenia flavogaster,5,14,LC,NA
Aves,Elaenia mesoleuca,7,14,LC,NA
Aves,Elaenia parvirostris,19,13,LC,NA
Aves,Elaenia sordida,7,16,LC,NA
Aves,Elaenia spectabilis,7,16,LC,NA
Aves,Elanoides forficatus,9,56,LC,NA
Aves,Elanus leucurus,19,40,LC,NA
Aves,Emberizoides herbicola,3,18,LC,NA
Aves,Emberizoides ypiranganus,12,16,LC,NA
Aves,Embernagra platensis,19,20,LC,NA
Aves,Empidonomus aurantioatrocristatus,14,17,LC,NA
Aves,Empidonomus varius,10,17,LC,NA
Aves,Eudyptes chrysolophus,1,10,VU,NA
Aves,Eupetomena macroura,3,17,LC,NA
Aves,Euphonia chlorotica,3,9,LC,NA
Aves,Euscarthmus meloryphus,19,10,LC,NA
Aves,Falco femoralis,19,35,LC,NA
Aves,Falco peregrinus,19,39,LC,NA
Aves,Falco sparverius,19,26,LC,NA
Aves,Florisuga fusca,14,9,LC,NA
Aves,Fluvicola albiventer,11,12,LC,NA
Aves,Fluvicola nengeta,2,15,LC,NA
Aves,Fregata magnificens,6,65,LC,NA
Aves,Fulica armillata,19,35,LC,NA
Aves,Fulica leucoptera,19,30,LC,NA
Aves,Fulica rufifrons,19,32,LC,NA
Aves,Fulmarus glacialis,NA,NA,NA,non-native: introduced
Aves,Fulmarus glacialoides,6,48,LC,NA
Aves,Furnarius rufus,19,18,LC,NA
Aves,Gallinago magellanica,1,27,LC,NA
Aves,Gallinago paraguaiae,19,25,LC,NA
Aves,Gallinula galeata,19,33,LC,NA
Aves,Gallus gallus,NA,NA,NA,non-native: domesticated
Aves,Gampsonyx swainsonii,1,22,LC,new record
Aves,Gelochelidon nilotica,15,34,LC,NA
Aves,Geositta cunicularia,19,14,LC,NA
Aves,Geothlypis velata,19,13,LC,NA
Aves,Geotrygon montana,1,22,LC,NA
Aves,Geranoaetus albicaudatus,19,53,LC,NA
Aves,Geranoaetus melanoleucus,19,65,LC,NA
Aves,Geranospiza caerulescens,19,46,LC,NA
Aves,Glaucidium brasilianum,19,18,LC,NA
Aves,Gnorimopsar chopi,15,22,LC,NA
Aves,Gubernatrix cristata,15,18,EN,NA
Aves,Gubernetes yetapa,1,40,LC,NA
Aves,Guira guira,19,36,LC,NA
Aves,Haematopus ater,2,36,LC,NA
Aves,Haematopus palliatus,8,35,LC,NA
Aves,Halobaena caerulea,6,29,LC,NA
Aves,Hapalocrex flaviventer,7,14,LC,NA
Aves,Heliobletus contaminatus,1,12,LC,NA
Aves,Heliomaster furcifer,10,10,LC,NA
Aves,Hemithraupis guira,1,12,LC,new record
Aves,Hemithraupis ruficapilla,1,13,LC,NA
Aves,Hemitriccus margaritaceiventer,6,10,LC,NA
Aves,Heteronetta atricapilla,14,36,LC,NA
Aves,Heteroxolmis dominicana,17,19,VU,NA
Aves,Himantopus mexicanus,19,38,LC,NA
Aves,Hirundinea ferruginea,11,16,LC,NA
Aves,Hirundo rustica,19,16,LC,NA
Aves,Hydropsalis torquata,19,40,LC,NA
Aves,Hylocharis chrysura,19,8,LC,NA
Aves,Hymenops perspicillatus,19,13,LC,NA
Aves,Icterus pyrrhopterus,19,19,LC,NA
Aves,Ictinia mississippiensis,2,37,LC,NA
Aves,Ictinia plumbea,1,35,LC,new record
Aves,Ixobrychus involucris,13,28,LC,NA
Aves,Jabiru mycteria,5,110,LC,NA
Aves,Jacana jacana,19,25,LC,NA
Aves,Knipolegus cyanirostris,19,14,LC,NA
Aves,Knipolegus lophotes,13,19,LC,NA
Aves,Larus atlanticus,6,48,NT,NA
Aves,Larus dominicanus,16,55,LC,NA
Aves,Laterallus leucopyrrhus,19,17,LC,NA
Aves,Laterallus melanophaius,19,18,LC,NA
Aves,Lathrotriccus euleri,19,12,LC,NA
Aves,Leistes defilippii,1,19,VU,NA
Aves,Leistes superciliaris,19,17,LC,NA
Aves,Lepidocolaptes angustirostris,19,18,LC,NA
Aves,Lepidocolaptes falcinellus,1,17,LC,NA
Aves,Leptasthenura platensis,19,16,LC,NA
Aves,Leptopogon amaurocephalus,1,12,LC,NA
Aves,Leptotila rufaxilla,11,25,LC,NA
Aves,Leptotila verreauxi,19,26,LC,NA
Aves,Lessonia rufa,19,11,LC,NA
Aves,Leucocarbo atriceps,2,70,LC,NA
Aves,Leucochloris albicollis,19,8,LC,NA
Aves,Leucophaeus pipixcan,5,33,LC,NA
Aves,Limnoctites rectirostris,13,15,NT,NA
Aves,Limnoctites sulphuriferus,18,15,LC,NA
Aves,Limnornis curvirostris,14,16,LC,NA
Aves,Limosa haemastica,10,34,LC,NA
Aves,Lochmias nematura,19,13,LC,NA
Aves,Machetornis rixosa,19,17,LC,NA
Aves,Mackenziaena leachii,1,25,LC,NA
Aves,Macronectes giganteus,6,95,LC,NA
Aves,Macronectes halli,6,90,LC,NA
Aves,Mareca sibilatrix,16,43,LC,NA
Aves,Megaceryle torquata,19,36,LC,NA
Aves,Megarynchus pitangua,4,21,LC,NA
Aves,Megascops choliba,19,23,LC,NA
Aves,Megascops sanctaecatarinae,9,28,LC,NA
Aves,Melanerpes cactorum,6,16,LC,NA
Aves,Melanerpes candidus,19,24,LC,NA
Aves,Meleagris gallopavo,NA,NA,NA,non-native: domesticated
Aves,Melopsittacus undulatus,NA,NA,NA,non-native: introduced
Aves,Microspingus cabanisi,19,13,LC,NA
Aves,Microspingus melanoleucus,19,12,LC,NA
