"Especie","Está en POWO:","Está en GBIF:","Es un nuevo registro","URL POWO"
"Opuntia bonaerensis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:174871-2"
"Opuntia ficus-indica","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1151735-2"
"Opuntia monacantha","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:323260-2"
"Parodia erinacea","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282132-2"
"Parodia erubescens","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1001459-1"
"Parodia langsdorfii","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1001460-1"
"Parodia neoarechavaletae","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1001461-1"
"Parodia oxycostata","No está","No está","SI","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1005821-1"
"Parodia tenuicylindrica","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1001465-1"
"Perezia multiflora","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:237026-1"
"Physalis peruviana","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195473-2"
"Pomaria rubicunda","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1117952-2"
"Prosopis affinis","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77303584-1"
"Prosopis nigra","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77303750-1"
"Pseudogynoxys chenopodioides","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:211361-2"
"Santolina chamaecyparissus","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:241927-1"
"Selenicereus undatus","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77163184-1"
"Senecio angulatus","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:243791-1"
"Senecio tamoides","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:247873-1"
"Senegalia picachensis","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518287-1"
"Solanum aethiopicum","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:818158-1"
"Solanum betaceum","No está","No está","SI","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306169-2"
"Solanum lycopersicum","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316947-2"
"Solanum nigrum","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30048260-2"
"Solanum reineckii","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:239598-2"
"Solanum tuberosum","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:821337-1"
"Stenachaenium macrocephalum","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77233407-1"
"Taraxacum erythrospermum","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249536-2"
"Thelesperma megapotamicum","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:255473-1"
"Tragopogon porrifolius","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:256109-1"
"Vachellia karroo","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77087189-1"
"Wisteria sinensis","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60459148-2"
"Youngia japonica","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1124129-2"
"Zinnia elegans","Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:261331-1"
