"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"52","anahi119","2022-10-15 18:43:52 UTC","2022-11-01 20:01:46 UTC",2,18.0540972222222,0.110778178237473,"beginner"
"53","anahi65","2019-04-01 19:39:14 UTC","2019-04-01 19:39:14 UTC",1,1,1,"beginner"
"54","anahir_bornia","2023-03-20 14:30:48 UTC","2023-03-20 14:30:48 UTC",1,1,1,"beginner"
"55","anaineszanfabrobulfo","2019-01-30 22:05:08 UTC","2019-01-30 22:05:51 UTC",2,1.00049768518519,1.9990051247643,"beginner"
"56","analia13","2021-12-04 19:09:50 UTC","2022-01-29 22:07:37 UTC",2,57.1234606481481,0.0350118843870296,"beginner"
"57","analiavergara","2020-03-27 20:43:10 UTC","2020-04-26 16:18:09 UTC",2,30.8159606481481,0.0649014328268292,"beginner"
"58","anapaolucci","2021-11-20 18:04:27 UTC","2021-11-20 18:04:27 UTC",1,1,1,"beginner"
"59","anarl","2020-09-12 19:49:59 UTC","2020-09-12 19:49:59 UTC",1,1,1,"beginner"
"60","andre156","2020-04-22 02:51:12 UTC","2020-04-22 02:51:12 UTC",1,1,1,"beginner"
"61","andrea0401","2022-05-14 18:58:08 UTC","2023-05-23 17:47:59 UTC",8,374.951284722222,0.0213361050514247,"beginner"
"62","andrea2660","2024-02-21 10:40:21 UTC","2024-02-21 10:40:21 UTC",1,1,1,"beginner"
"63","andreo","2023-03-21 03:08:44 UTC","2023-03-21 03:09:41 UTC",2,1.00065972222222,1.99868142544849,"beginner"
"64","andres562","2023-02-11 14:30:26 UTC","2023-02-11 14:30:26 UTC",1,1,1,"beginner"
"65","andrespautasso","2019-12-28 21:11:42 UTC","2019-12-28 21:11:42 UTC",1,1,1,"beginner"
"66","andycaruso","2019-01-17 22:59:34 UTC","2024-01-20 13:43:33 UTC",14,1829.61387731481,0.00765188774177136,"beginner"
"67","ange2312","2021-09-17 12:48:51 UTC","2021-09-17 12:48:51 UTC",1,1,1,"beginner"
"68","angela153","2018-04-28 01:45:31 UTC","2018-04-28 01:45:31 UTC",1,1,1,"beginner"
"69","angelica180","2020-11-12 15:11:06 UTC","2021-11-18 21:44:10 UTC",2,372.272962962963,0.00537240197107459,"beginner"
"70","angelotenfennicoladeli","2021-12-22 19:46:09 UTC","2021-12-28 13:58:49 UTC",9,6.7587962962963,1.33159805466128,"beginner"
"71","anibalnoro","2022-04-02 02:11:19 UTC","2022-04-02 02:11:19 UTC",1,1,1,"beginner"
"72","annshafer","2024-01-07 21:19:21 UTC","2024-01-07 21:19:21 UTC",1,1,1,"beginner"
"73","anthony83864","2023-08-20 09:25:49 UTC","2023-08-20 09:25:49 UTC",1,1,1,"beginner"
"74","antjuna_cc","2021-09-05 23:28:09 UTC","2021-09-05 23:28:09 UTC",1,1,1,"beginner"
"75","antonellaferraina","2020-09-22 11:11:26 UTC","2020-09-22 11:13:37 UTC",3,1.0015162037037,2.99545827506905,"beginner"
"76","antonio1712","2022-02-19 21:45:38 UTC","2022-02-19 21:45:38 UTC",1,1,1,"beginner"
"77","aparrot1","2024-02-20 23:52:47 UTC","2024-02-20 23:52:47 UTC",1,1,1,"beginner"
"78","ar-ruz","2022-08-12 23:13:37 UTC","2022-08-17 01:11:12 UTC",4,5.08165509259259,0.787145118493127,"beginner"
"79","areturtu","2023-11-08 16:02:16 UTC","2023-11-08 16:02:16 UTC",1,1,1,"beginner"
"80","ariane_sadhaka","2021-11-27 02:09:22 UTC","2021-11-27 02:09:22 UTC",1,1,1,"beginner"
"81","ariel35","2023-03-18 01:06:03 UTC","2023-04-17 01:53:54 UTC",3,31.0332291666667,0.096670571531188,"beginner"
"82","ariellebh","2023-05-06 01:47:03 UTC","2023-05-06 01:47:03 UTC",1,1,1,"beginner"
"83","armando_s","2021-04-16 15:11:30 UTC","2024-01-27 17:34:49 UTC",15,1017.09952546296,0.0147478192885522,"beginner"
"84","arnel","2018-03-20 05:02:18 UTC","2019-12-24 09:46:46 UTC",59,645.197546296296,0.0914448610951555,"beginner"
"85","arrietajuliohotmailcom","2020-06-21 13:14:53 UTC","2020-06-21 13:14:53 UTC",1,1,1,"beginner"
"86","arturo58","2018-02-12 19:57:19 UTC","2018-02-12 19:57:19 UTC",1,1,1,"beginner"
"87","aruaco","2021-04-29 03:20:04 UTC","2021-04-29 03:20:04 UTC",1,1,1,"beginner"
"88","ash-it","2023-11-06 13:14:24 UTC","2023-11-11 14:00:36 UTC",6,6.03208333333333,0.994681218484493,"beginner"
"89","ashi-cmr","2023-01-28 15:05:21 UTC","2023-01-28 15:08:51 UTC",2,1.00243055555556,1.99515067544164,"beginner"
"90","ashthetree","2023-05-06 07:51:34 UTC","2023-05-06 07:51:34 UTC",1,1,1,"beginner"
"91","asterisktom","2021-02-12 14:19:58 UTC","2021-02-12 14:32:56 UTC",3,1.00900462962963,2.97322719034619,"beginner"
"92","astridnautas","2020-05-14 04:39:26 UTC","2024-02-15 21:24:57 UTC",198,1373.69827546296,0.14413645524398,"beginner"
"93","atorrante","2021-12-08 15:38:23 UTC","2023-10-06 21:28:40 UTC",3,668.243252314815,0.00448938315442454,"beginner"
"94","augusto118","2022-09-28 16:21:59 UTC","2022-09-28 16:21:59 UTC",1,1,1,"beginner"
"95","aurelien_miralles","2017-08-27 16:53:06 UTC","2017-08-27 17:13:51 UTC",10,1.01440972222222,9.85794968338183,"beginner"
"96","autumnsloth445","2022-09-24 18:24:29 UTC","2022-09-30 17:25:19 UTC",2,6.95891203703704,0.287401247401247,"beginner"
"97","avallejo","2020-01-05 14:40:58 UTC","2020-01-05 14:40:58 UTC",1,1,1,"beginner"
"98","axmilli1","2022-12-24 00:43:55 UTC","2022-12-24 00:43:55 UTC",1,1,1,"beginner"
"99","ayan_fleischmann","2020-09-03 22:57:02 UTC","2020-09-03 22:57:02 UTC",1,1,1,"beginner"
"100","aylen_gomez_souza","2021-01-25 13:09:47 UTC","2021-01-25 13:09:47 UTC",1,1,1,"beginner"
"101","azambolli","2022-06-28 00:29:53 UTC","2022-06-29 15:07:14 UTC",3,2.60927083333333,1.14974649686614,"beginner"
"102","azbozzetto","2019-08-02 23:41:59 UTC","2019-08-02 23:45:22 UTC",2,1.00234953703704,1.9953119406949,"beginner"
"103","azerradjo","2023-10-19 00:23:13 UTC","2023-10-19 00:39:02 UTC",7,1.0109837962963,6.923948757284,"beginner"
"104","barbid","2023-08-11 22:59:08 UTC","2023-08-11 22:59:08 UTC",1,1,1,"beginner"
"105","barreiro3258","2020-09-28 18:57:36 UTC","2022-01-14 03:56:09 UTC",3,473.373993055556,0.00633748377395105,"beginner"
"106","barrylyons","2020-02-06 16:07:35 UTC","2020-11-13 16:07:06 UTC",66,281.999664351852,0.234042831759018,"intermediate"
"107","bartzed","2020-02-10 13:17:02 UTC","2020-02-10 13:17:02 UTC",1,1,1,"beginner"
