"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Aves","Calidris alba",6,19,"LC",
"Aves","Calidris bairdii",10,17,"LC",
"Aves","Calidris canutus",8,23,"NT",
"Aves","Calidris fuscicollis",19,16,"LC",
"Aves","Calidris himantopus",8,21,"LC",
"Aves","Calidris melanotos",19,20,"LC",
"Aves","Calidris minutilla",2,13,"LC",
"Aves","Calidris subruficollis",19,20,"NT",
"Aves","Callonetta leucophrys",19,31,"LC",
"Aves","Calonectris diomedea",1,50,"LC",
"Aves","Campephilus leucopogon",7,29,"LC",
"Aves","Camptostoma obsoletum",19,9,"LC",
"Aves","Caracara plancus",19,55,"LC",
"Aves","Carduelis carduelis",14,12,"LC",
"Aves","Cariama cristata",19,70,"LC",
"Aves","Casiornis rufus",1,16,"LC",
"Aves","Cathartes aura",19,60,"LC",
"Aves","Cathartes burrovianus",19,56,"LC",
"Aves","Certhiaxis cinnamomeus",19,13,"LC",
"Aves","Chaetura meridionalis",2,12,"LC",
"Aves","Charadrius semipalmatus",5,15,"LC",
"Aves","Chauna torquata",19,85,"LC",
"Aves","Chionis albus",4,37,"LC",
"Aves","Chlidonias niger",2,24,"LC",
"Aves","Chloris chloris",10,14,"LC",
"Aves","Chloroceryle amazona",19,26,"LC",
"Aves","Chloroceryle americana",19,18,"LC",
"Aves","Chlorophonia cyanocephala",1,10,"LC",
"Aves","Chlorostilbon lucidus",19,7,"LC",
"Aves","Chordeiles minor",19,22,"LC",
"Aves","Chordeiles nacunda",19,28,"LC",
"Aves","Chroicocephalus cirrocephalus",15,38,"LC",
"Aves","Chroicocephalus maculipennis",19,35,"LC",
"Aves","Chrysomus ruficapillus",19,17,"LC",
"Aves","Ciconia maguari",19,85,"LC",
"Aves","Cinclodes fuscus",19,16,"LC",
"Aves","Circus buffoni",19,52,"LC",
"Aves","Circus cinereus",19,48,"LC",
"Aves","Cistothorus platensis",16,10,"LC",
"Aves","Cnemotriccus fuscatus",1,12,"LC",
"Aves","Coccycua cinerea",19,22,"LC",
"Aves","Coccyzus melacoryphus",19,28,"LC",
"Aves","Coereba flaveola",6,10,"LC",
"Aves","Colaptes campestris",19,27,"LC",
"Aves","Colaptes melanochloros",19,23,"LC",
"Aves","Columba livia",19,33,"LC",
"Aves","Columbina picui",19,15,"LC",
"Aves","Columbina talpacoti",19,15,"LC",
"Aves","Conopophaga lineata",1,11,"LC",
"Aves","Coragyps atratus",19,53,"LC",
"Aves","Coryphistera alaudina",6,15,"LC",
"Aves","Coryphospingus cucullatus",19,12,"LC",
"Aves","Coscoroba coscoroba",19,71,"LC",
"Aves","Cranioleuca pyrrhophia",19,14,"LC",
"Aves","Crotophaga ani",15,32,"LC",
"Aves","Crotophaga major",6,42,"LC",
"Aves","Crypturellus obsoletus",1,30,"LC",
"Aves","Culicivora caudacuta",2,10,"VU",
"Aves","Cyanocorax caeruleus",2,35,"NT",
"Aves","Cyanocorax chrysops",16,32,"LC",
"Aves","Cyanoloxia brissonii",19,16,"LC",
"Aves","Cyanoloxia glaucocaerulea",19,14,"LC",
"Aves","Cyclarhis gujanensis",19,16,"LC",
"Aves","Cygnus melancoryphus",19,90,"LC",
"Aves","Daptrius chimachima",19,37,"LC",
"Aves","Daptrius chimango",19,37,"LC",
"Aves","Dendrocolaptes platyrostris",1,25,"LC",
"Aves","Dendrocygna autumnalis",9,41,"LC",
"Aves","Dendrocygna bicolor",19,41,"LC",
"Aves","Dendrocygna viduata",19,42,"LC",
"Aves","Dolichonyx oryzivorus",1,16,"LC",
"Aves","Donacospiza albifrons",19,14,"LC",
"Aves","Drymornis bridgesii",19,26,"LC",
"Aves","Dryobates mixtus",7,16,"LC",
"Aves","Dryobates spilogaster",19,14,"LC",
"Aves","Egretta caerulea",12,40,"LC",
"Aves","Egretta thula",19,39,"LC",
"Aves","Elaenia albiceps",13,13,"LC",
"Aves","Elaenia flavogaster",5,14,"LC",
"Aves","Elaenia mesoleuca",7,14,"LC",
"Aves","Elaenia parvirostris",19,13,"LC",
"Aves","Elaenia sordida",7,16,"LC",
