"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Mammalia","Lontra longicaudis",19,114,"NT",
"Mammalia","Lutreolina crassicaudata",19,62,"LC",
"Mammalia","Lycalopex gymnocerca",19,97,"LC",
"Mammalia","Mazama gouazoubira",19,210,"LC",
"Mammalia","Megaptera novaeangliae",3,1450,"LC",
"Mammalia","Mirounga leonina",5,450,"LC",
"Mammalia","Molossus molossus",19,10,"LC",
"Mammalia","Monodelphis dimidiata",10,24,"LC",
"Mammalia","Mus musculus",19,15,"LC",
"Mammalia","Myocastor coypus",19,85,"LC",
"Mammalia","Myotis albescens",19,8,"LC",
"Mammalia","Nasua nasua",7,112,"LC",
"Mammalia","Oligoryzomys flavescens",19,19,"LC",
"Mammalia","Oligoryzomys nigripes",19,23,"LC",
"Mammalia","Otaria byronia",5,210,"LC",
"Mammalia","Oxymycterus josei",9,23,"NT",
"Mammalia","Oxymycterus nasutus",9,23,"LC",
"Mammalia","Ozotoceros bezoarticus",2,129,"NT",
"Mammalia","Phocoena spinipinnis",4,135,"DD",
"Mammalia","Physeter macrocephalus",2,1300,"VU",
"Mammalia","Platyrrhinus lineatus",1,7,"LC",
"Mammalia","Pontoporia blainvillei",6,145,"VU",
"Mammalia","Procyon cancrivorus",19,107,"LC",
"Mammalia","Pseudorca crassidens",4,500,"NT",
"Mammalia","Rattus norvegicus",19,49,"LC",
"Mammalia","Rattus rattus",19,40,"LC",
"Mammalia","Reithrodon typicus",19,25,"LC",
"Mammalia","Sturnira lilium",9,7,"LC",
"Mammalia","Sus scrofa",19,177,"LC",
"Mammalia","Tadarida brasiliensis",19,10,"LC",
"Mammalia","Tamandua tetradactyla",5,112,"LC",
"Mammalia","Tursiops truncatus",6,300,"LC",
"Mammalia","Wilfredomys oenax",8,29,"EN",
"Reptilia","Acanthochelys spixii",7,18,"NT",
"Reptilia","Adelphostigma occipitalis",10,60,"LC",
"Reptilia","Amphisbaena darwinii",13,28,"NE",
"Reptilia","Amphisbaena kingii",19,22,"NE",
"Reptilia","Amphisbaena munoai",12,15,"NE",
"Reptilia","Aspronema dorsivittatum",19,9,"NE",
"Reptilia","Boiruna maculata",19,160,"NE",
"Reptilia","Bothrops alternatus",19,150,"NE",
"Reptilia","Bothrops pubescens",14,150,"NE",
"Reptilia","Caiman latirostris",11,250,"LC",
"Reptilia","Calamodontophis paucidens",3,40,"VU",
"Reptilia","Caretta caretta",4,80,"VU",
"Reptilia","Cercosaura schreibersii",19,5,"LC",
"Reptilia","Chelonia mydas",5,92,"EN",
"Reptilia","Chironius gouveai",5,180,"LC",
"Reptilia","Contomastix lacertoides",17,7,"NE",
"Reptilia","Dermochelys coriacea",6,170,"VU",
"Reptilia","Dibernardia poecilopogon",3,45,"LC",
"Reptilia","Dipsas turgida",3,45,"LC",
"Reptilia","Dryophylax hypoconia",19,65,"DD",
"Reptilia","Epictia munoai",19,20,"NE",
"Reptilia","Erythrolamprus almadensis",4,66,"NE",
"Reptilia","Erythrolamprus jaegeri",19,61,"LC",
"Reptilia","Erythrolamprus poecilogyrus",19,70,"NE",
"Reptilia","Erythrolamprus semiaureus",19,100,"NE",
"Reptilia","Eunectes notaeus",1,400,"LC",
"Reptilia","Helicops infrataeniatus",19,100,"NE",
"Reptilia","Hemidactylus mabouia",3,7,"LC",
"Reptilia","Homonota uruguayensis",9,5,"NE",
"Reptilia","Hydromedusa tectifera",19,30,"NE",
"Reptilia","Leptophis ahaetulla",1,150,"LC",
"Reptilia","Liolaemus wiegmannii",7,6,"LC",
"Reptilia","Lygophis anomalus",19,62,"NE",
"Reptilia","Lygophis flavifrenatus",5,72,"NE",
"Reptilia","Mesotes strigatus",19,80,"LC",
"Reptilia","Micrurus altirostris",19,90,"NE",
"Reptilia","Ophiodes intermedius",6,25,"LC",
"Reptilia","Ophiodes striatus",19,26,"NE",
"Reptilia","Ophiodes vertebralis",19,20,"NE",
"Reptilia","Oxyrhopus rhombifer",19,90,"NE",
"Reptilia","Paraphimophis rusticus",19,180,"NE",
"Reptilia","Phalotris lemniscatus",19,68,"LC",
"Reptilia","Philodryas aestiva",19,100,"NE",
"Reptilia","Philodryas agassizii",19,50,"NE",
"Reptilia","Philodryas olfersii",4,150,"NE",
"Reptilia","Philodryas patagoniensis",19,150,"LC",
"Reptilia","Phrynops hilarii",19,34,"NE",
"Reptilia","Phrynops williamsi",6,33,"VU",
"Reptilia","Psomophis obtusus",19,41,"LC",
"Reptilia","Salvator merianae",19,140,"LC",
"Reptilia","Tachymenis ocellata",19,54,"LC",
"Reptilia","Tantilla melanocephala",13,38,"NE",
"Reptilia","Tarentola mauritanica",1,5,"LC",
"Reptilia","Teius oculatus",19,12,"NE",
"Reptilia","Trachemys dorbigni",19,26,"NE",
"Reptilia","Tropidurus catalanensis",4,11,"LC",
"Reptilia","Tropidurus torquatus",4,15,"LC",
"Reptilia","Xenodon dorbignyi",19,70,"NE",
"Reptilia","Xenodon merremii",1,127,"LC",
